Title,Genre,Console,Publisher,Total Sales (m),NA Sales (m),EU Sales (m),JP Sales (m),Other Sales (m),Release Month,Release Year
Tomb Raider II,Adventure,PS,Eidos Interactive,5.24,2.3,2.46,0.2,0.28,10,1997
LEGO Indiana Jones: The Original Adventures,Adventure,X360,LucasArts,3.76,2.4,1.01,0.0,0.36,6,2008
Tomb Raider III: Adventures of Lara Croft,Adventure,PS,Eidos Interactive,3.54,1.66,1.58,0.12,0.18,11,1998
LEGO Batman: The Videogame,Adventure,X360,Warner Bros. Interactive,3.44,2.07,1.04,0.0,0.34,9,2008
L.A. Noire,Adventure,PS3,Rockstar Games,3.21,1.29,1.31,0.12,0.49,11,2011
Club Penguin: Elite Penguin Force,Adventure,DS,Disney Interactive Studios,3.14,1.87,0.97,0.0,0.3,11,2008
LEGO Batman: The Videogame,Adventure,Wii,Warner Bros. Interactive,3.08,1.8,0.98,0.0,0.29,9,2008
LEGO Batman: The Videogame,Adventure,DS,Warner Bros. Interactive,3.06,1.75,1.02,0.0,0.29,9,2008
L.A. Noire,Adventure,X360,Rockstar Games,2.73,1.55,0.92,0.02,0.24,11,2011
Harry Potter and the Chamber of Secrets,Adventure,PS2,Electronic Arts,2.61,0.9,1.22,0.04,0.44,11,2002
Grand Theft Auto: Episodes from Liberty City,Adventure,X360,Rockstar Games,2.6,1.08,1.22,0.03,0.27,10,2009
LEGO Harry Potter: Years 1-4,Adventure,Wii,Warner Bros. Interactive,2.45,1.29,0.94,0.0,0.22,6,2010
Frogger's Adventures: Temple of the Frog,Adventure,GBA,Konami,2.39,2.15,0.18,0.0,0.07,10,2001
LEGO Indiana Jones: The Original Adventures,Adventure,Wii,LucasArts,2.35,1.51,0.62,0.0,0.22,6,2008
LEGO Harry Potter: Years 1-4,Adventure,DS,Warner Bros. Interactive,2.29,1.07,1.0,0.0,0.22,6,2010
Tomb Raider II,Adventure,PC,Eidos Interactive,2.29,0.91,1.25,0.0,0.13,10,1997
Prince of Persia: The Sands of Time,Adventure,PS2,Ubisoft,2.22,0.88,1.03,0.0,0.31,11,2003
LEGO Indiana Jones: The Original Adventures,Adventure,DS,LucasArts,2.2,1.4,0.6,0.0,0.21,6,2008
Grand Theft Auto: Episodes from Liberty City,Adventure,PS3,Rockstar Games,2.09,0.62,0.99,0.13,0.34,4,2010
Rise of the Tomb Raider,Adventure,PS4,Square Enix,2.07,0.61,1.08,0.05,0.32,10,2016
Harry Potter and the Chamber of Secrets,Adventure,GBA,Electronic Arts,1.99,1.21,0.64,0.05,0.09,11,2002
Harry Potter and the Chamber of Secrets,Adventure,PS,Electronic Arts,1.98,0.75,1.09,0.02,0.12,11,2002
Scooby Doo and the Cyber Chase,Adventure,PS,THQ,1.94,0.59,1.23,0.0,0.13,10,2001
The Legend of Zelda: Oracle of Ages,Adventure,GBC,Nintendo,1.92,0.92,0.53,0.41,0.06,5,2001
The Legend of Zelda: Oracle of Seasons,Adventure,GBC,Nintendo,1.86,0.87,0.52,0.41,0.06,5,2001
Star Wars Episode I: The Phantom Menace,Adventure,PS,LucasArts,1.74,0.72,0.89,0.04,0.1,8,1999
"Monsters, Inc.",Adventure,GBA,THQ,1.67,0.59,0.95,0.03,0.1,10,2001
Prince of Persia: Warrior Within,Adventure,PS2,Ubisoft,1.64,0.54,0.88,0.0,0.22,11,2004
SpongeBob's Atlantis SquarePantis,Adventure,DS,THQ,1.61,1.49,0.0,0.0,0.11,10,2007
LEGO Harry Potter: Years 1-4,Adventure,X360,Warner Bros. Interactive,1.59,0.95,0.5,0.0,0.14,6,2010
Disney Fairies: Tinker Bell,Adventure,DS,Disney Interactive Studios,1.52,0.85,0.51,0.01,0.15,10,2008
Bratz: Forever Diamondz,Adventure,DS,THQ,1.48,0.43,0.88,0.0,0.18,9,2006
Drawn To Life: SpongeBob SquarePants Edition,Adventure,DS,THQ,1.48,0.99,0.35,0.0,0.14,9,2008
Assassin's Creed III: Liberation,Adventure,PSV,Ubisoft,1.48,0.53,0.57,0.06,0.32,10,2012
Disney Princess: Magical Jewels,Adventure,DS,Disney Interactive Studios,1.44,1.12,0.2,0.0,0.12,10,2007
LEGO Indiana Jones 2: The Adventure Continues,Adventure,Wii,LucasArts,1.41,0.9,0.38,0.0,0.13,11,2009
LEGO Indiana Jones: The Original Adventures,Adventure,PS2,LucasArts,1.37,0.6,0.01,0.0,0.76,6,2008
LEGO Harry Potter: Years 1-4,Adventure,PS3,Warner Bros. Interactive,1.37,0.55,0.61,0.0,0.21,6,2010
Disney Princess: Enchanted Journey,Adventure,Wii,Disney Interactive Studios,1.35,1.22,0.03,0.0,0.1,10,2007
The ICO & Shadow of the Colossus Collection,Adventure,PS3,Sony Computer Entertainment,1.34,0.67,0.36,0.13,0.18,9,2011
Grand Theft Auto: Chinatown Wars,Adventure,DS,Rockstar Games,1.33,0.58,0.56,0.05,0.14,3,2009
Rugrats Studio Tour,Adventure,PS,THQ,1.31,0.57,0.67,0.0,0.07,11,1999
LEGO Batman: The Videogame,Adventure,PS3,Warner Bros. Interactive,1.31,0.72,0.39,0.0,0.19,9,2008
LEGO Batman: The Videogame,Adventure,PSP,Warner Bros. Interactive,1.3,0.57,0.46,0.0,0.27,9,2008
LEGO Batman: The Videogame,Adventure,PS2,Warner Bros. Interactive,1.27,0.72,0.03,0.0,0.52,9,2008
Tomb Raider: Underworld,Adventure,PS3,Eidos Interactive,1.26,0.45,0.55,0.05,0.21,11,2008
Parfait: Chocolat Second Style,Adventure,PS2,Alchemist,1.22,0.59,0.46,0.01,0.15,6,2006
Minecraft: Story Mode,Adventure,X360,Mojang,1.2,0.67,0.42,0.0,0.11,10,2015
Scarface: The World is Yours,Adventure,PS2,Sierra Entertainment,1.19,0.99,0.04,0.0,0.16,10,2006
LEGO Indiana Jones 2: The Adventure Continues,Adventure,DS,LucasArts,1.19,0.65,0.43,0.0,0.12,11,2009
Metal Gear Solid VR Missions,Adventure,PS,Konami,1.18,0.66,0.45,0.0,0.08,9,1999
LEGO Indiana Jones: The Original Adventures,Adventure,PSP,LucasArts,1.18,0.4,0.49,0.0,0.3,6,2008
Shadow of the Colossus,Adventure,PS2,Sony Computer Entertainment,1.14,0.78,0.03,0.2,0.13,10,2005
Grand Theft Auto: The Trilogy,Adventure,PS2,Rockstar Games,1.14,0.0,0.51,0.0,0.62,11,2005
Rabbids Go Home,Adventure,Wii,Ubisoft,1.13,0.25,0.74,0.0,0.14,11,2009
Alien: Isolation,Adventure,PS4,Sega,1.09,0.29,0.59,0.05,0.16,10,2014
Grand Theft Auto: Chinatown Wars,Adventure,PSP,Rockstar Games,1.08,0.28,0.5,0.03,0.27,10,2009
Prince of Persia,Adventure,PS3,Ubisoft,1.07,0.47,0.41,0.03,0.17,12,2008
MySims Agents,Adventure,DS,Electronic Arts,1.07,0.54,0.42,0.0,0.11,9,2009
Tomb Raider: Underworld,Adventure,X360,Eidos Interactive,1.07,0.53,0.42,0.01,0.11,11,2008
Endless Ocean,Adventure,Wii,Nintendo,1.06,0.43,0.46,0.09,0.09,1,2008
MySims Agents,Adventure,Wii,Electronic Arts,1.05,0.63,0.32,0.0,0.1,9,2009
Legacy of Kain: Soul Reaver,Adventure,PS,Eidos Interactive,1.04,0.58,0.4,0.0,0.07,8,1999
LEGO Indiana Jones: The Original Adventures,Adventure,PS3,LucasArts,1.03,0.44,0.43,0.0,0.17,6,2008
Disney Fairies: Tinker Bell and the Lost Treasure,Adventure,DS,Disney Interactive Studios,1.03,0.57,0.35,0.02,0.1,10,2009
LEGO Indiana Jones 2: The Adventure Continues,Adventure,X360,LucasArts,1.02,0.62,0.31,0.0,0.09,11,2009
Harry Potter and the Prisoner of Azkaban,Adventure,PS2,Electronic Arts,1.02,0.5,0.39,0.0,0.13,6,2004
Prince of Persia,Adventure,X360,Ubisoft,1.01,0.54,0.34,0.02,0.1,12,2008
Apollo Justice: Ace Attorney,Adventure,DS,Capcom,0.99,0.28,0.05,0.64,0.03,2,2008
Gangs of London,Adventure,PSP,Sony Computer Entertainment,0.96,0.3,0.43,0.0,0.22,10,2006
Scooby-Doo! First Frights,Adventure,Wii,Warner Bros. Interactive,0.96,0.84,0.04,0.0,0.07,9,2009
Tom Clancy's Splinter Cell: Chaos Theory,Adventure,PS2,Ubisoft,0.95,0.36,0.45,0.0,0.14,3,2005
Destroy All Humans!,Adventure,PS2,THQ,0.94,0.78,0.03,0.0,0.13,6,2005
Prince of Persia: The Sands of Time,Adventure,XB,Ubisoft,0.94,0.57,0.33,0.0,0.04,11,2003
Monster High: Ghoul Spirit,Adventure,DS,THQ,0.93,0.69,0.16,0.0,0.07,10,2011
Phoenix Wright: Ace Attorney,Adventure,DS,Capcom,0.93,0.44,0.05,0.39,0.05,10,2005
Assassin's Creed,Adventure,PC,Ubisoft,0.91,0.01,0.84,0.0,0.06,4,2008
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PS3,LucasArts,0.9,0.47,0.3,0.0,0.13,11,2009
Minecraft: Story Mode,Adventure,PS3,Mojang,0.89,0.32,0.43,0.0,0.15,10,2015
Classic NES Series: The Legend of Zelda,Adventure,GBA,Nintendo,0.89,0.46,0.17,0.24,0.02,6,2004
CSI: Hard Evidence,Adventure,Wii,Ubisoft,0.89,0.36,0.43,0.0,0.1,1,2008
Minecraft: Story Mode,Adventure,PS4,Mojang,0.87,0.31,0.42,0.0,0.14,10,2015
Harry Potter and the Order of the Phoenix,Adventure,DS,Electronic Arts,0.84,0.28,0.46,0.0,0.1,6,2007
Metroid: Zero Mission,Adventure,GBA,Nintendo,0.84,0.6,0.22,0.0,0.01,2,2004
Scooby-Doo! First Frights,Adventure,DS,Warner Bros. Interactive,0.83,0.6,0.16,0.0,0.07,9,2009
Mega Man Legends,Adventure,PS,Capcom,0.83,0.39,0.26,0.12,0.05,8,1998
MediEvil,Adventure,PS,Sony Computer Entertainment,0.83,0.46,0.31,0.0,0.05,10,1998
Casper,Adventure,PS,Interplay,0.83,0.46,0.31,0.0,0.05,9,1996
