Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
The Walking Dead: Telltale Games Series,Adventure,Series,Telltale Games,Telltale Games,50.00m,N/A,N/A,N/A,N/A,N/A,24th Apr 12
Professor Layton,Adventure,Series,Nintendo,Level-5,18.00m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
Myst,Adventure,Series,Broderbund,"Cyan, Inc.",12.50m,N/A,N/A,N/A,N/A,N/A,24th Sep 93
Ace Attorney,Adventure,Series,Capcom,Capcom,11.00m,N/A,N/A,N/A,N/A,N/A,12th Oct 05
Broken Sword,Adventure,Series,Virgin Interactive,Revolution Software,10.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 96
Detroit: Become Human,Adventure,All,Sony Interactive Entertainment,Quantic Dream,9.00m,N/A,N/A,N/A,N/A,N/A,25th May 18
The Legend of Zelda: Ocarina of Time,Adventure,N64,Nintendo,Nintendo EAD,7.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 98
The Legend of Zelda: Twilight Princess,Adventure,Wii,Nintendo,Nintendo EAD,7.50m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
King's Quest,Adventure,Series,Sierra Online,On-Line Systems,7.00m,N/A,N/A,N/A,N/A,N/A,10th May 84
The Legend of Zelda,Adventure,NES,Nintendo,Nintendo EAD,6.51m,N/A,N/A,N/A,N/A,N/A,22nd Aug 87
Luigi's Mansion: Dark Moon,Adventure,3DS,Nintendo,Next Level Games,6.48m,N/A,N/A,N/A,N/A,N/A,24th Mar 13
The Legend of Zelda: Ocarina of Time 3D,Adventure,3DS,Nintendo,GREZZO,6.44m,N/A,N/A,N/A,N/A,N/A,19th Jun 11
Myst,Adventure,PC,Broderbund,Cyan Worlds,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jan 95
Detroit: Become Human,Adventure,PS4,Sony Interactive Entertainment,Quantic Dream,5.50m,N/A,N/A,N/A,N/A,N/A,25th May 18
Heavy Rain,Adventure,All,Sony Computer Entertainment,Quantic Dream,5.30m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10
Tomb Raider II,Adventure,PS,Eidos Interactive,Core Design Ltd.,N/A,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97
Subnautica,Adventure,Series,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5.23m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
Subnautica,Adventure,All,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5.23m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
Danganronpa,Adventure,Series,NIS America,Spike Chunsoft,5.00m,N/A,N/A,N/A,N/A,N/A,11th Feb 14
L.A. Noire,Adventure,All,Rockstar Games,Team Bondi,5.00m,N/A,N/A,N/A,N/A,N/A,17th May 11
The Legend of Zelda: Phantom Hourglass,Adventure,DS,Nintendo,Nintendo EAD,4.76m,N/A,N/A,N/A,N/A,N/A,02nd Oct 07
The Legend of Zelda: A Link to the Past,Adventure,SNES,Nintendo,Nintendo EAD,4.61m,N/A,N/A,N/A,N/A,N/A,13th Apr 92
Riven: The Sequel to Myst,Adventure,PC,Red Orb,Cyan Worlds,4.50m,N/A,N/A,N/A,N/A,N/A,29th Oct 97
Professor Layton and the Curious Village,Adventure,DS,Nintendo,Level 5,4.49m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
